district,timestamp,lat,lon,temp,feels_like,pressure,humidity,clouds,wind_speed,wind_deg,weather_main,weather_desc,PM2_5
Watthana,1742371200,13.7369,100.5847,308.82,311.64,1011,40,15,3.74,77,Clouds,few clouds,79.78
Sai Mai,1742104800,13.9248,100.6385,309.78,316.78,1008,61,55,3.47,161,Clouds,broken clouds,58.86
Phra Nakhon,1741845600,13.7563,100.5018,307.94,314.94,1008,56,92,4.77,187,Clouds,overcast clouds,32.88
Dusit,1741996800,13.7842,100.5117,300.22,302.48,1011,74,59,3.85,181,Clouds,broken clouds,49.5
Dusit,1742288400,13.7842,100.5117,309.56,316.56,1008,49,59,2.33,216,Clouds,broken clouds,47.75
Bang Khen,1741798800,13.8644,100.5843,303.12,308.12,1009,70,20,4.63,180,Clouds,few clouds,34.8
Pathum Wan,1742155200,13.7445,100.5342,302.09,306.31,1008,73,12,4.33,180,Clouds,few clouds,50.2
Pom Prap Sattru Phai,1742371200,13.7504,100.5097,308.82,311.64,1011,40,15,3.74,77,Clouds,few clouds,79.78
Phra Khanong,1741802400,13.7088,100.6022,302.12,306.77,1009,75,95,5.44,196,Clouds,overcast clouds,36.31
Phra Khanong,1742230800,13.7088,100.6022,303.98,309.45,1012,67,12,5.3,191,Clouds,few clouds,67.36
Min Buri,1742252400,13.8053,100.755,300.61,305.65,1011,93,20,2.57,60,Clouds,few clouds,84.89
Thon Buri,1742097600,13.7229,100.4907,308.55,315.21,1011,51,94,4.34,186,Clouds,overcast clouds,27.11
Thon Buri,1742324400,13.7229,100.4907,304.21,307.87,1012,59,24,3.77,88,Clouds,few clouds,88.18
Bangkok Yai,1742288400,13.7314,100.4806,309.74,316.74,1008,49,56,3.22,216,Clouds,broken clouds,47.75
Bang Khun Thian,1741896000,13.6703,100.4578,301.27,304.33,1009,72,60,3.55,187,Clouds,broken clouds,5.37
Bang Khun Thian,1741924800,13.6703,100.4578,307.02,311.94,1012,52,99,3.75,186,Clouds,overcast clouds,4.25
Phasi Charoen,1742032800,13.7214,100.4357,309.05,314.75,1008,47,78,4.8,165,Clouds,broken clouds,33.1
Phasi Charoen,1742184000,13.7214,100.4357,307.5,313.43,1012,53,10,4.03,153,Clear,clear sky,43.57
Nong Khaem,1742115600,13.7153,100.3792,310.34,317.34,1006,47,9,5.79,166,Clear,clear sky,19.42
Din Daeng,1741924800,13.7663,100.5562,306.98,311.85,1012,52,100,3.68,187,Clouds,overcast clouds,49.73
Bueng Kum,1742058000,13.7895,100.6558,302.39,309.39,1010,89,20,4.63,210,Clouds,few clouds,33.55
Sathon,1741968000,13.7211,100.5289,302.09,305.57,1011,69,47,5.67,185,Clouds,scattered clouds,43.34
Bang Sue,1742277600,13.8009,100.5297,309.33,316.33,1011,52,48,2.6,144,Clouds,scattered clouds,34.1
Chatuchak,1741809600,13.8166,100.5557,302.12,306.57,1008,74,20,5.14,210,Clouds,few clouds,42.85
Prawet,1742238000,13.7196,100.6698,302.39,309.39,1011,89,20,4.63,190,Clouds,few clouds,63.03
Khlong Toei,1741921200,13.7126,100.5582,306.42,310.6,1012,52,100,3.18,184,Clouds,overcast clouds,96.1
Khlong Toei,1741989600,13.7126,100.5582,301.09,304.1,1009,73,9,3.9,181,Clear,clear sky,35.2
Suan Luang,1742392800,13.7212,100.6406,303.77,304.3,1015,45,100,6.51,87,Clouds,overcast clouds,55.41
Ratchathewi,1742043600,13.7547,100.5342,303.99,308.93,1010,65,16,4.42,173,Clouds,few clouds,39.89
Ratchathewi,1742295600,13.7547,100.5342,309.05,315.59,1008,49,62,3.31,236,Clouds,broken clouds,43.04
Lat Phrao,1741910400,13.8078,100.5701,302.04,309.04,1011,99,92,2.55,183,Clouds,overcast clouds,70.76
Sai Mai,1741896000,13.9248,100.6385,301.49,308.49,1009,100,55,3.04,182,Clouds,broken clouds,61.69
Sai Mai,1742385600,13.9248,100.6385,304.66,305.81,1013,46,20,3.09,80,Clouds,few clouds,39.21
Khan Na Yao,1742295600,13.8159,100.6669,308.47,313.79,1008,48,20,4.12,110,Clouds,few clouds,23.93
Saphan Sung,1741842000,13.761,100.6726,305.41,312.41,1010,80,40,5.66,130,Thunderstorm,thunderstorm with light rain,35.65
Wang Thonglang,1741968000,13.7889,100.612,302.09,305.57,1011,69,47,5.67,185,Clouds,scattered clouds,43.34
Dusit,1741802400,13.7842,100.5117,302.09,306.12,1009,72,88,4.79,197,Clouds,overcast clouds,36.31
Bang Rak,1742115600,13.7259,100.5283,309.89,316.89,1006,51,16,5.31,181,Clouds,few clouds,40.54
Bang Kapi,1742367600,13.7554,100.6309,308.44,311.23,1013,41,16,3.93,74,Clouds,few clouds,52.01
Pathum Wan,1741870800,13.7445,100.5342,302.56,309.56,1009,93,71,5.97,178,Clouds,broken clouds,46.83
Pathum Wan,1742238000,13.7445,100.5342,302.1,306.14,1011,72,24,3.04,191,Clouds,few clouds,34.98
Yannawa,1742389200,13.6896,100.5369,304.38,305.19,1014,45,100,5.62,95,Clouds,overcast clouds,68.11
Samphanthawong,1741798800,13.7408,100.5137,302.99,308.27,1009,72,89,5.27,192,Clouds,overcast clouds,34.8
Phaya Thai,1741960800,13.7719,100.5385,302.09,305.21,1011,67,25,5.51,184,Clouds,scattered clouds,47.78
Phaya Thai,1742241600,13.7719,100.5385,301.1,304.12,1010,73,33,2.8,182,Clouds,scattered clouds,43.06
Bangkok Yai,1742238000,13.7314,100.4806,304.21,309.73,1011,66,27,3.01,190,Clouds,scattered clouds,34.98
Taling Chan,1742184000,13.7702,100.4429,307.16,314.16,1012,61,20,2.57,160,Clouds,few clouds,43.57
Bangkok Noi,1742166000,13.7634,100.4735,303.61,308.81,1009,68,24,3.31,148,Clouds,few clouds,87.0
Bangkok Noi,1742281200,13.7634,100.4735,310.56,317.56,1010,47,63,3.88,172,Clouds,broken clouds,61.5
Bang Khun Thian,1741978800,13.6703,100.4578,301.13,304.18,1009,73,3,4.81,184,Clear,clear sky,7.8
Bang Khun Thian,1742356800,13.6703,100.4578,303.9,304.33,1016,44,11,4.64,72,Clouds,few clouds,121.16
Rat Burana,1741975200,13.6865,100.4925,301.13,303.91,1010,71,23,4.76,184,Clouds,few clouds,9.25
Bang Phlat,1742306400,13.7951,100.5015,304.87,309.87,1011,61,20,2.57,100,Clouds,few clouds,77.64
Bueng Kum,1741928400,13.7895,100.6558,308.16,315.16,1012,67,94,4.42,198,Clouds,overcast clouds,34.64
Bueng Kum,1742216400,13.7895,100.6558,303.13,309.14,1010,74,20,6.17,200,Clouds,few clouds,64.82
Khlong Toei,1742194800,13.7126,100.5582,307.94,314.51,1009,53,100,5.66,190,Clouds,overcast clouds,51.36
Chom Thong,1742216400,13.6853,100.4674,304.78,309.95,1010,62,11,5.54,163,Clouds,few clouds,32.4
Ratchathewi,1741870800,13.7547,100.5342,302.56,309.56,1009,93,71,5.97,178,Clouds,broken clouds,46.83
Ratchathewi,1742061600,13.7547,100.5342,302.09,306.12,1010,72,79,4.52,191,Clouds,broken clouds,31.97
Ratchathewi,1742335200,13.7547,100.5342,300.09,300.45,1013,49,58,3.92,83,Clouds,broken clouds,106.55
Lat Phrao,1742043600,13.8078,100.5701,304.12,309.51,1010,66,20,4.63,180,Clouds,few clouds,39.89
Watthana,1742086800,13.7369,100.5847,303.7,310.7,1011,93,80,3.48,181,Clouds,broken clouds,32.44
Phra Nakhon,1742230800,13.7563,100.5018,302.09,305.93,1012,71,9,4.74,194,Clear,clear sky,28.53
Dusit,1741960800,13.7842,100.5117,302.09,305.21,1011,67,25,5.51,184,Clouds,scattered clouds,47.78
Bang Rak,1742000400,13.7259,100.5283,301.21,303.67,1012,68,20,4.23,181,Clouds,few clouds,58.43
Bang Khen,1741896000,13.8644,100.5843,302.04,309.04,1009,99,57,3.31,186,Clouds,broken clouds,60.05
Pathum Wan,1742104800,13.7445,100.5342,309.53,316.53,1009,51,60,4.34,176,Clouds,broken clouds,32.95
